ts,leg,side,delta_units,fill_price,fee,PAPER
2026-06-12T15:48:27.223917+00:00,spot,BUY,0.4705724388232301,63764.890428,18.0036,True
2026-06-12T15:48:27.223917+00:00,perp,SELL,-0.470956874479004,63687.35998,17.9964,True
